On_h_26,11110000000000000000000000000000000011111001001000000010,00000000000000000000000000000000000011111101001000000001,11110000010000011010000001110001110011101111001000000001
Off_h_26,11000000000000000000000000000000000011111011001000000010,00000000000000000000000000000000000011111101001000000001,11000000010000011010000001110001110011110001001000000001
On_h_25,11110000000000000000000000000000000011111001001000000010,00000000000000000000000000000000000011111101001000000001,11110000010000011001000001110001110011101111001000000001
Off_h_25,11000000000000000000000000000000000011111011001000000010,00000000000000000000000000000000000011111101001000000001,11000000010000011001000001110001110011110001001000000001
On_h_24,11110000000000000000000000000000000011111001001000000010,00000000000000000000000000000000000011111101001000000001,11110000010000011000000001110001110011110000001000000001
Set_h_25,11110000000000000000000000000000000011111001001000000010,11110000010000011001000001110001110011101111001000000001
Set_h_24,11110000000000000000000000000000000011111001001000000010,11110000010000011000000001110001110011110000001000000001
Off_h_24,11000000000000000000000000000000000011111011001000000010,00000000000000000000000000000000000011111101001000000001,11000000010000011000000001110001110011110010001000000001
Set_h_26,11110000000000000000000000000000000011111001001000000010,11110000010000011010000001110001101111101110001000000001
Set_h_27,11110000000000000000000000000000000011111001001000000010,11110000010000011011000001110001101111101101001000000001
Set_h_28,11110000000000000000000000000000000011111001001000000010,11110000010000011100000001110001101111101110001000000001
Set_h_29,11110000000000000000000000000000000011111001001000000010,11110000010000011101000001110001101111101101001000000001
Set_h_30,11110000000000000000000000000000000011111001001000000010,11110000010000011110000001110001101111101101001000000001
Set_h_23,11110000000000000000000000000000000011111001001000000010,11110000010000010111000001110001101111101101001000000001
Set_h_22,11110000000000000000000000000000000011111001001000000010,11110000010000010110000001110001101111101110001000000001
Set_h_21,11110000000000000000000000000000000011111001001000000010,11110000010000010101000001110001101111101110001000000001
Set_h_20,11110000000000000000000000000000000011111001001000000010,11110000010000010100000001110001101111101111001000000001
Set_h_19,11110000000000000000000000000000000011111001001000000010,11110000010000010011000001110001101111101110001000000001
Set_h_18,11110000000000000000000000000000000011111001001000000010,11110000010000010010000001110001101111101111001000000001
Set_h_17,11110000000000000000000000000000000011111001001000000010,11110000010000010001000001110001101111101111001000000001
Set_h_16,11110000000000000000000000000000000011111001001000000010,11110000010000010000000001110001101111110000001000000001
